home_team,away_team,home_score,home_xg,home_penalty,away_score,away_xg,away_penalty,home_manager,home_captain,away_manager,away_captain,home_goals,away_goals,Attendance,Venue,Officials,Date,Score,Referee,Notes,Round,Host,Year
Cameroon,Soviet Union,0,,,4,,,Valeri Nepomnyashchi,Stephen Tataw,Valeriy Lobanovskyi,Anatoliy Demyanenko,,Oleh Protasov · 20|Andrei Zygmantovich · 29|Oleksandr Zavarov · 52|Igor Dobrovolski · 63,37307,"Stadio San Nicola, Bari",Jose Ramiz Wright (Referee) · Pietro D Elia (AR1) · Kurt Roethlisberger (AR2),1990-06-18,0–4,Jose Ramiz Wright,,Group stage,Italy,1990
Republic of Ireland,Egypt,0,,,0,,,Jack Charlton,Mick McCarthy,Mahmoud El Gohary,Rabie Yassin,,,33288,"Della Favorita, Palermo",Marcel Van Langenhove (Referee) · Joel Quiniou (AR1) · Rosario Lo Bello (AR2),1990-06-17,0–0,Marcel Van Langenhove,,Group stage,Italy,1990
Belgium,Uruguay,3,,,1,,,Guy Thys,Jan Ceulemans,Oscar Tabarez,Enzo Francescoli,Lei Clijsters · 15|Enzo Scifo · 24|Eric Gerets · 42|Jan Ceulemans · 47,Pablo Bengoechea · 73,33759,"Marc Antonio Bentegodi, Verona",Siegfried Kirschen (Referee) · Peter Mikkelsen (AR1) · Alexey Spirin (AR2),1990-06-17,3–1,Siegfried Kirschen,,Group stage,Italy,1990
Korea Republic,Spain,1,,,3,,,Hoe Taik Lee,Choi Soon-ho,Luis Suarez,Emilio Butragueño,Hwangbo Kwan · 43,Míchel · 23|Míchel · 61|Míchel · 81,32733,"Dacia Arena, Udine",Elias V. Jacome Guerrero (Referee) · Pierluigi Magni (AR1) · Juan Loustau (AR2),1990-06-17,1–3,Elias V. Jacome Guerrero,,Group stage,Italy,1990
Brazil,Costa Rica,1,,,0,,,Sebastiao Lazaroni,Ricardo Gomes,Bora Milutinovic,Róger Flores,Müller · 33,,58007,"Stadio delle Alpi, Turin",Neji Jouini (Referee) · Jean Fidele Diramba (AR1) · Jassim Mandi (AR2),1990-06-16,1–0,Neji Jouini,,Group stage,Italy,1990
England,Netherlands,0,,,0,,,Bobby Robson,Bryan Robson,Leo Beenhakker,Ruud Gullit,,,35267,"Sant Elia, Cagliari",Zoran Petrovic (Referee) · Mohamed Hansal (AR1) · Edgardo Codesal Mendez (AR2),1990-06-16,0–0,Zoran Petrovic,,Group stage,Italy,1990
Sweden,Scotland,1,,,2,,,Olle Nordin,Glenn Hysén,Andy Roxburgh,Roy Aitken,Glenn Strömberg · 86,Stuart McCall · 11|Mo Johnston (P) · 81,31823,"Luigi Ferraris, Genoa",Carlos Maciel (Referee) · Vincent Mauro (AR1) · Michal Listkiewicz (AR2),1990-06-16,1–2,Carlos Maciel,,Group stage,Italy,1990
Austria,Czechoslovakia,0,,,1,,,Josef Hickersberger,Toni Polster,Jozef Venglos,Ivan Hašek,,Michal Bílek (P) · 31,38962,"Comunale, Florence",George Smith (Referee) · Richard Lorenc (AR1) · Jamal Al Sharif (AR2),1990-06-15,0–1,George Smith,,Group stage,Italy,1990
West Germany,United Arab Emirates,5,,,1,,,Franz Beckenbauer,Lothar Matthäus,Carlos Alberto Parreira,Abdulrahman Mohamed,Rudi Völler · 35|Jürgen Klinsmann · 37|Lothar Matthäus · 47|Uwe Bein · 58|Rudi Völler · 75,Khalid Ismaïl · 46,71169,"Giuseppe Meazza, Milan",Alexey Spirin (Referee) · Shizuo Takada (AR1) · Pierluigi Pairetto (AR2),1990-06-15,5–1,Alexey Spirin,,Group stage,Italy,1990
Yugoslavia,Colombia,1,,,0,,,Ivica Osim,Zlatko Vujović,Francisco Maturana,Carlos Valderrama,Davor Jozić · 75,,32257,"Renato Dall Ara, Bologna",Luigi Agnolin (Referee) · Neji Jouini (AR1) · Jean Fidele Diramba (AR2),1990-06-14,1–0,Luigi Agnolin,,Group stage,Italy,1990
Cameroon,Romania,2,,,1,,,Valeri Nepomnyashchi,Stephen Tataw,Emerich Jenei,Silviu Lung,Roger Milla · 76|Roger Milla · 86,Gabi Balint · 88,38687,"Stadio San Nicola, Bari",Hernan Silva Arce (Referee) · Carlos Alberto Silva Valente (AR1) · Armando Perez Hoyos (AR2),1990-06-14,2–1,Hernan Silva Arce,,Group stage,Italy,1990
Italy,United States,1,,,0,,,Azeglio Vicini,Giuseppe Bergomi,Bob Gansler,Mike Windischmann,Giuseppe Giannini · 11,,73423,"Stadio Olimpico, Rome",Edgardo Codesal Mendez (Referee) · Juan Cardellino De San Vicente (AR1) · Berny Ulloa Morera (AR2),1990-06-14,1–0,Edgardo Codesal Mendez,,Group stage,Italy,1990
Uruguay,Spain,0,,,0,,,Oscar Tabarez,Enzo Francescoli,Luis Suarez,Emilio Butragueño,,,35713,"Dacia Arena, Udine",Helmut Kohl (Referee) · Alexey Spirin (AR1) · Siegfried Kirschen (AR2),1990-06-13,0–0,Helmut Kohl,,Group stage,Italy,1990
Argentina,Soviet Union,2,,,0,,,Carlos Bilardo,Diego Maradona,Valeriy Lobanovskyi,Oleh Kuznetsov,Pedro Troglio · 27|Jorge Burruchaga · 79,Volodymyr Bezsonov · 48,55759,"San Paolo, Naples",Erik Fredriksson (Referee) · Jose Ramiz Wright (AR1) · Jamal Al Sharif (AR2),1990-06-13,2–0,Erik Fredriksson,,Group stage,Italy,1990
Belgium,Korea Republic,2,,,0,,,Guy Thys,Eric Gerets,Hoe Taik Lee,Chung Yong-hwan,Marc Degryse · 53|Michel De Wolf · 64,,32790,"Marc Antonio Bentegodi, Verona",Vincent Mauro (Referee) · Alan Snoddy (AR1) · George Courtney (AR2),1990-06-12,2–0,Vincent Mauro,,Group stage,Italy,1990
Netherlands,Egypt,1,,,1,,,Leo Beenhakker,Ruud Gullit,Mahmoud El Gohary,Gamal Abdel-Hameed,Wim Kieft · 58,Magdi Abdelghani (P) · 83,33288,"Della Favorita, Palermo",Emilio Soriano Aladren (Referee) · Edgardo Codesal Mendez (AR1) · Juan Cardellino De San Vicente (AR2),1990-06-12,1–1,Emilio Soriano Aladren,,Group stage,Italy,1990
Costa Rica,Scotland,1,,,0,,,Bora Milutinovic,Róger Flores,Andy Roxburgh,Roy Aitken,Juan Cayasso · 49,,30867,"Luigi Ferraris, Genoa",Juan Loustau (Referee) · Carlos Maciel (AR1) · Elias V. Jacome Guerrero (AR2),1990-06-11,1–0,Juan Loustau,,Group stage,Italy,1990
England,Republic of Ireland,1,,,1,,,Bobby Robson,Bryan Robson,Jack Charlton,Mick McCarthy,Gary Lineker · 9,Kevin Sheedy · 73,35238,"Sant Elia, Cagliari",Aron Schmidhuber (Referee) · Erik Fredriksson (AR1) · Kurt Roethlisberger (AR2),1990-06-11,1–1,Aron Schmidhuber,,Group stage,Italy,1990
United States,Czechoslovakia,1,,,5,,,Bob Gansler,Mike Windischmann,Jozef Venglos,Ivan Hašek,Eric Wynalda · 52|Paul Caligiuri · 60,Tomáš Skuhravý · 26|Michal Bílek (P) · 40|Ivan Hašek · 50|Tomáš Skuhravý · 78|Milan Luhový · 90,33266,"Comunale, Florence",Kurt Roethlisberger (Referee) · Marcel Van Langenhove (AR1) · Aron Schmidhuber (AR2),1990-06-10,1–5,Kurt Roethlisberger,,Group stage,Italy,1990
West Germany,Yugoslavia,4,,,1,,,Franz Beckenbauer,Lothar Matthäus,Ivica Osim,Zlatko Vujović,Lothar Matthäus · 28|Jürgen Klinsmann · 39|Lothar Matthäus · 64|Rudi Völler · 70,Davor Jozić · 55,74765,"Giuseppe Meazza, Milan",Peter Mikkelsen (Referee) · Jassim Mandi (AR1) · Michal Listkiewicz (AR2),1990-06-10,4–1,Peter Mikkelsen,,Group stage,Italy,1990
Brazil,Sweden,2,,,1,,,Sebastiao Lazaroni,Ricardo Gomes,Olle Nordin,Jonas Thern,Careca · 40|Careca · 63,Tomas Brolin · 79,62628,"Stadio delle Alpi, Turin",Tullio Lanese (Referee) · Michel Vautrot (AR1) · Neji Jouini (AR2),1990-06-10,2–1,Tullio Lanese,,Group stage,Italy,1990
United Arab Emirates,Colombia,0,,,2,,,Carlos Alberto Parreira,Fahad Khamees,Francisco Maturana,Carlos Valderrama,,Bernardo Redín · 50|Carlos Valderrama · 85,30791,"Renato Dall Ara, Bologna",George Courtney (Referee) · Shizuo Takada (AR1) · Alan Snoddy (AR2),1990-06-09,0–2,George Courtney,,Group stage,Italy,1990
Soviet Union,Romania,0,,,2,,,Valeriy Lobanovskyi,Rinat Dasayev,Emerich Jenei,Silviu Lung,,Marius Lăcătuș · 41|Marius Lăcătuș (P) · 55,42907,"Stadio San Nicola, Bari",Juan Cardellino De San Vicente (Referee) · Emilio Soriano Aladren (AR1) · Hernan Silva Arce (AR2),1990-06-09,0–2,Juan Cardellino De San Vicente,,Group stage,Italy,1990
Italy,Austria,1,,,0,,,Azeglio Vicini,Giuseppe Bergomi,Josef Hickersberger,Toni Polster,Salvatore Schillaci · 78,,73303,"Stadio Olimpico, Rome",Jose Ramiz Wright (Referee) · Armando Perez Hoyos (AR1) · Carlos Alberto Silva Valente (AR2),1990-06-09,1–0,Jose Ramiz Wright,,Group stage,Italy,1990
Argentina,Cameroon,0,,,1,,,Carlos Bilardo,Diego Maradona,Valeri Nepomnyashchi,Stephen Tataw,,André Kana-Biyik · 61|François Omam-Biyik · 67|Benjamin Massing · 88,73780,"Giuseppe Meazza, Milan",Michel Vautrot (Referee) · Vincent Mauro (AR1) · Michal Listkiewicz (AR2),1990-06-08,0–1,Michel Vautrot,,Group stage,Italy,1990
Argentina,West Germany,3,,,2,,,Carlos Bilardo,Diego Maradona,Franz Beckenbauer,Karl-Heinz Rummenigge,José Luis Brown · 23|Jorge Valdano · 56|Jorge Burruchaga · 84,Karl-Heinz Rummenigge · 74|Rudi Völler · 81,114600,"Estadio Azteca, Mexico City",Romualdo Arppi Filho (Referee) · Erik Fredriksson (AR1) · Berny Ulloa Morera (AR2),1986-06-29,3–2,Romualdo Arppi Filho,,Final,Mexico,1986
France,Belgium,4,,,2,,,Henri Michel,Patrick Battiston,Guy Thys,Jan Ceulemans,Jean-Marc Ferreri · 27|Jean-Pierre Papin · 43|Bernard Genghini · 104|Manuel Amoros (P) · 111,Jan Ceulemans · 11|Nico Claesen · 73,21000,"Cuauhtemoc, Puebla",George Courtney (Referee) · Hernan Silva Arce (AR1) · Jamal Al Sharif (AR2),1986-06-28,4–2,George Courtney,Required Extra Time,Third-place match,Mexico,1986
France,West Germany,0,,,2,,,Henri Michel,Michel Platini,Franz Beckenbauer,Karl-Heinz Rummenigge,,Andreas Brehme · 9|Rudi Völler · 90,45000,"Jalisco, Guadalajara",Luigi Agnolin (Referee) · Zoran Petrovic (AR1) · Lajos Nemeth (AR2),1986-06-25,0–2,Luigi Agnolin,,Semi-finals,Mexico,1986
Argentina,Belgium,2,,,0,,,Carlos Bilardo,Diego Maradona,Guy Thys,Jan Ceulemans,Diego Maradona · 51|Diego Maradona · 63,,114500,"Estadio Azteca, Mexico City",Antonio Marquez Ramirez (Referee) · Romulo Mendez Molina (AR1) · Carlos Alberto Silva Valente (AR2),1986-06-25,2–0,Antonio Marquez Ramirez,,Semi-finals,Mexico,1986
Argentina,England,2,,,1,,,Carlos Bilardo,Diego Maradona,Bobby Robson,Peter Shilton,Diego Maradona · 51|Diego Maradona · 55,Gary Lineker · 81,114580,"Estadio Azteca, Mexico City",Ali Bennaceur (Referee) · Berny Ulloa Morera (AR1) · Bogdan Dotchev (AR2),1986-06-22,2–1,Ali Bennaceur,,Quarter-finals,Mexico,1986
Spain,Belgium,1,,4.0,1,,5.0,Miguel Munoz,José Antonio Camacho,Guy Thys,Jan Ceulemans,Juan Antonio Señor · 85,Jan Ceulemans · 35,45000,"Cuauhtemoc, Puebla",Siegfried Kirschen (Referee) · Edgardo Codesal Mendez (AR1) · Horst Brummeier (AR2),1986-06-22,(4) 1–1 (5),Siegfried Kirschen,Belgium won on penalty kicks following extra time,Quarter-finals,Mexico,1986
Brazil,France,1,,3.0,1,,4.0,Tele Santana,Edinho,Henri Michel,Michel Platini,Careca · 17,Michel Platini · 41,65000,"Jalisco, Guadalajara",Ioan Igna (Referee) · Lajos Nemeth (AR1) · Vojtech Christov (AR2),1986-06-21,(3) 1–1 (4),Ioan Igna,France won on penalty kicks following extra time,Quarter-finals,Mexico,1986
West Germany,Mexico,0,,4.0,0,,1.0,Franz Beckenbauer,Karl-Heinz Rummenigge,Bora Milutinovic,Tomás Boy,Thomas Berthold · 65,Javier Aguirre · 100,41700,"Estadio Universitario, Monterrey",Jesus Diaz Palacio (Referee) · Christopher Bambridge (AR1) · Alan Snoddy (AR2),1986-06-21,(4) 0–0 (1),Jesus Diaz Palacio,West Germany won on penalty kicks following extra time,Quarter-finals,Mexico,1986
England,Paraguay,3,,,0,,,Bobby Robson,Peter Shilton,Cayetano Re,Rogelio Delgado,Gary Lineker · 31|Peter Beardsley · 56|Gary Lineker · 72,,98728,"Estadio Azteca, Mexico City",Jamal Al Sharif (Referee) · Alexis Ponnet (AR1) · Fallaj Khuzam Al Shanar (AR2),1986-06-18,3–0,Jamal Al Sharif,,Round of 16,Mexico,1986
Denmark,Spain,1,,,5,,,Sepp Piontek,Morten Olsen,Miguel Munoz,José Antonio Camacho,Jesper Olsen (P) · 33,Emilio Butragueño · 43|Emilio Butragueño · 57|Andoni Goikoetxea (P) · 68|Emilio Butragueño · 80|Emilio Butragueño (P) · 89,38500,"Estadio Corregidora, Queretaro",Jan Keizer (Referee) · Ali Bennaceur (AR1) · Bogdan Dotchev (AR2),1986-06-18,1–5,Jan Keizer,,Round of 16,Mexico,1986
Italy,France,0,,,2,,,Enzo Bearzot,Gaetano Scirea,Henri Michel,Michel Platini,,Michel Platini · 15|Yannick Stopyra · 57,70000,"Estadio Olï¿½mpico Universitario, Mexico City",Carlos Esposito (Referee) · Jose Luis Martinez Bazan (AR1) · Jesus Diaz Palacio (AR2),1986-06-17,0–2,Carlos Esposito,,Round of 16,Mexico,1986
Morocco,West Germany,0,,,1,,,Jose Faria,Ezzaki Badou,Franz Beckenbauer,Karl-Heinz Rummenigge,,Lothar Matthäus · 88,19800,"Estadio Universitario, Monterrey",Zoran Petrovic (Referee) · Lajos Nemeth (AR1) · Horst Brummeier (AR2),1986-06-17,0–1,Zoran Petrovic,,Round of 16,Mexico,1986
Brazil,Poland,4,,,0,,,Tele Santana,Edinho,Antoni Piechniczek,Zbigniew Boniek,Sócrates (P) · 30|Josimar · 55|Edinho · 79|Careca (P) · 83,,45000,"Jalisco, Guadalajara",Volker Roth (Referee) · Antonio Marquez Ramirez (AR1) · Alan Snoddy (AR2),1986-06-16,4–0,Volker Roth,,Round of 16,Mexico,1986
Argentina,Uruguay,1,,,0,,,Carlos Bilardo,Diego Maradona,Omar Borras,Jorge Barrios,Pedro Pasculli · 42,,26000,"Cuauhtemoc, Puebla",Luigi Agnolin (Referee) · George Courtney (AR1) · Carlos Alberto Silva Valente (AR2),1986-06-16,1–0,Luigi Agnolin,,Round of 16,Mexico,1986
Mexico,Bulgaria,2,,,0,,,Bora Milutinovic,Tomás Boy,Ivan Vutsov,Georgi Dimitrov,Manuel Negrete Arias · 34|Raúl Servín · 61,,114580,"Estadio Azteca, Mexico City",Romualdo Arppi Filho (Referee) · Romulo Mendez Molina (AR1) · Ioan Igna (AR2),1986-06-15,2–0,Romualdo Arppi Filho,,Round of 16,Mexico,1986
Soviet Union,Belgium,3,,,4,,,Valeriy Lobanovskyi,Anatoliy Demyanenko,Guy Thys,Jan Ceulemans,Igor Belanov · 27|Igor Belanov · 70|Igor Belanov (P) · 111,Enzo Scifo · 56|Jan Ceulemans · 77|Stéphane Demol · 102|Nico Claesen · 110,32277,"Nou Camp - Estadio Leï¿½n, Leon",Erik Fredriksson (Referee) · Victoriano Sanchez Arminio (AR1) · David Socha (AR2),1986-06-15,3–4,Erik Fredriksson,Required Extra Time,Round of 16,Mexico,1986
Scotland,Uruguay,0,,,0,,,Alex Ferguson,Willie Miller,Omar Borras,Jorge Barrios,,José Batista · 1,20000,"Neza, Nezahualcoyotl",Joel Quiniou (Referee) · Jesus Diaz Palacio (AR1) · Ali Bennaceur (AR2),1986-06-13,0–0,Joel Quiniou,,Group stage,Mexico,1986
Denmark,West Germany,2,,,0,,,Sepp Piontek,Morten Olsen,Franz Beckenbauer,Harald Schumacher,Jesper Olsen (P) · 43|John Eriksen · 62|Frank Arnesen · 88,,36000,"Estadio Corregidora, Queretaro",Alexis Ponnet (Referee) · Christopher Bambridge (AR1) · Erik Fredriksson (AR2),1986-06-13,2–0,Alexis Ponnet,,Group stage,Mexico,1986
Algeria,Spain,0,,,3,,,Rabah Saadane,Mahmoud Guendouz,Miguel Munoz,José Antonio Camacho,,Ramón Calderé · 15|Ramón Calderé · 68|Eloy Olaya · 70,23980,"Tecnologico, Monterrey",Shizuo Takada (Referee) · Edwin Picon-Ackong (AR1) · Carlos Esposito (AR2),1986-06-12,0–3,Shizuo Takada,,Group stage,Mexico,1986
Northern Ireland,Brazil,0,,,3,,,Billy Bingham,Sammy McIlroy,Tele Santana,Edinho,,Careca · 15|Josimar · 42|Careca · 87,51000,"Jalisco, Guadalajara",Siegfried Kirschen (Referee) · Idrissa Traore (AR1) · George Courtney (AR2),1986-06-12,0–3,Siegfried Kirschen,,Group stage,Mexico,1986
Paraguay,Belgium,2,,,2,,,Cayetano Re,Rogelio Delgado,Guy Thys,Jan Ceulemans,Roberto Cabañas · 50|Roberto Cabañas · 76,Franky Vercauteren · 30|Daniel Veyt · 59,16000,"Bombonera - Estadio Nemesio Diez, Toluca",Bogdan Dotchev (Referee) · Ali Bennaceur (AR1) · Hernan Silva Arce (AR2),1986-06-11,2–2,Bogdan Dotchev,,Group stage,Mexico,1986
Iraq,Mexico,0,,,1,,,Evaristo,Khalil Allawi,Bora Milutinovic,Tomás Boy,,Fernando Quirarte · 54,103763,"Estadio Azteca, Mexico City",Zoran Petrovic (Referee) · Lajos Nemeth (AR1) · Luigi Agnolin (AR2),1986-06-11,0–1,Zoran Petrovic,,Group stage,Mexico,1986
England,Poland,3,,,0,,,Bobby Robson,Peter Shilton,Antoni Piechniczek,Zbigniew Boniek,Gary Lineker · 9|Gary Lineker · 14|Gary Lineker · 34,,22700,"Tecnologico, Monterrey",Andre Daina (Referee) · Horst Brummeier (AR1) · Vojtech Christov (AR2),1986-06-11,3–0,Andre Daina,,Group stage,Mexico,1986
Portugal,Morocco,1,,,3,,,Jose Torres,Fernando Gomes,Jose Faria,Ezzaki Badou,Diamantino Miranda · 79,Abderrazak Khairi · 19|Abderrazak Khairi · 27|Abdelkrim Merry · 62,28000,"Tres de Marzo, Guadalajara",Alan Snoddy (Referee) · Valeri Butenko (AR1) · Volker Roth (AR2),1986-06-11,1–3,Alan Snoddy,,Group stage,Mexico,1986
Argentina,Bulgaria,2,,,0,,,Carlos Bilardo,Diego Maradona,Ivan Vutsov,Georgi Dimitrov,Jorge Valdano · 3|Jorge Burruchaga · 76,,65000,"Estadio Olï¿½mpico Universitario, Mexico City",Berny Ulloa Morera (Referee) · Romualdo Arppi Filho (AR1) · Jose Luis Martinez Bazan (AR2),1986-06-10,2–0,Berny Ulloa Morera,,Group stage,Mexico,1986
Korea Republic,Italy,2,,,3,,,Jung Nam Kim,Park Chang-sun,Enzo Bearzot,Gaetano Scirea,Choi Soon-ho · 62|Huh Jung-moo · 83,Alessandro Altobelli · 17|Alessandro Altobelli · 73|Cho Kwang-rae (OG) · 82,20000,"Cuauhtemoc, Puebla",David Socha (Referee) · Joaquin Urrea (AR1) · Jamal Al Sharif (AR2),1986-06-10,2–3,David Socha,,Group stage,Mexico,1986
Soviet Union,Canada,2,,,0,,,Valeriy Lobanovskyi,Oleh Blokhin,Tony Waiters,Bruce Wilson,Oleh Blokhin · 58|Oleksandr Zavarov · 74,,14200,"Estadio Irapuato, Irapuato",Idrissa Traore (Referee) · Fallaj Khuzam Al Shanar (AR1) · Gabriel Gonzalez Roa (AR2),1986-06-09,2–0,Idrissa Traore,,Group stage,Mexico,1986
Hungary,France,0,,,3,,,Gyorgy Mezey,Imre Garaba,Henri Michel,Michel Platini,,Yannick Stopyra · 29|Jean Tigana · 62|Dominique Rocheteau · 84,31420,"Nou Camp - Estadio Leï¿½n, Leon",Carlos Alberto Silva Valente (Referee) · Alexis Ponnet (AR1) · Andre Daina (AR2),1986-06-09,0–3,Carlos Alberto Silva Valente,,Group stage,Mexico,1986
West Germany,Scotland,2,,,1,,,Franz Beckenbauer,Harald Schumacher,Alex Ferguson,Graeme Souness,Rudi Völler · 22|Klaus Allofs · 50,Gordon Strachan · 18,30000,"Estadio Corregidora, Queretaro",Ioan Igna (Referee) · Bogdan Dotchev (AR1) · Alan Snoddy (AR2),1986-06-08,2–1,Ioan Igna,,Group stage,Mexico,1986
Iraq,Belgium,1,,,2,,,Evaristo,Raad Hammoudi,Guy Thys,Jan Ceulemans,Basil Gorgis · 52|Ahmed Radhi · 59,Enzo Scifo · 16|Nico Claesen (P) · 21,20000,"Bombonera - Estadio Nemesio Diez, Toluca",Jesus Diaz Palacio (Referee) · Vojtech Christov (AR1) · Victoriano Sanchez Arminio (AR2),1986-06-08,1–2,Jesus Diaz Palacio,,Group stage,Mexico,1986
Denmark,Uruguay,6,,,1,,,Sepp Piontek,Morten Olsen,Omar Borras,Eduardo Acevedo,Preben Elkjær · 11|Søren Lerby · 41|Michael Laudrup · 52|Preben Elkjær · 67|Preben Elkjær · 80|Jesper Olsen · 88,Miguel Bossio · 19|Enzo Francescoli (P) · 45,26500,"Neza, Nezahualcoyotl",Antonio Marquez Ramirez (Referee) · Jan Keizer (AR1) · Romualdo Arppi Filho (AR2),1986-06-08,6–1,Antonio Marquez Ramirez,,Group stage,Mexico,1986
Mexico,Paraguay,1,,,1,,,Bora Milutinovic,Tomás Boy,Cayetano Re,Rogelio Delgado,Luis Flores · 3,Julio César Romero · 85,114600,"Estadio Azteca, Mexico City",George Courtney (Referee) · Erik Fredriksson (AR1) · Ioan Igna (AR2),1986-06-07,1–1,George Courtney,,Group stage,Mexico,1986
Northern Ireland,Spain,1,,,2,,,Billy Bingham,Sammy McIlroy,Miguel Munoz,José Antonio Camacho,Colin Clarke · 47,Emilio Butragueño · 2|Julio Salinas · 18,28000,"Tres de Marzo, Guadalajara",Horst Brummeier (Referee) · Luigi Agnolin (AR1) · Lajos Nemeth (AR2),1986-06-07,1–2,Horst Brummeier,,Group stage,Mexico,1986
Poland,Portugal,1,,,0,,,Antoni Piechniczek,Zbigniew Boniek,Jose Torres,Fernando Gomes,Włodzimierz Smolarek · 68,,19915,"Estadio Universitario, Monterrey",Ali Bennaceur (Referee) · Edwin Picon-Ackong (AR1) · Shizuo Takada (AR2),1986-06-07,1–0,Ali Bennaceur,,Group stage,Mexico,1986
Brazil,Algeria,1,,,0,,,Tele Santana,Edinho,Rabah Saadane,Mahmoud Guendouz,Careca · 66,,48000,"Jalisco, Guadalajara",Romulo Mendez Molina (Referee) · Jose Luis Martinez Bazan (AR1) · Joel Quiniou (AR2),1986-06-06,1–0,Romulo Mendez Molina,,Group stage,Mexico,1986
Hungary,Canada,2,,,0,,,Gyorgy Mezey,Antal Nagy,Tony Waiters,Bruce Wilson,Márton Esterházy · 2|Lajos Détári · 75,Mike Sweeney · 85,13800,"Estadio Irapuato, Irapuato",Jamal Al Sharif (Referee) · Zoran Petrovic (AR1) · Christopher Bambridge (AR2),1986-06-06,2–0,Jamal Al Sharif,,Group stage,Mexico,1986
England,Morocco,0,,,0,,,Bobby Robson,Bryan Robson,Jose Faria,Ezzaki Badou,Ray Wilkins · 42,,20200,"Tecnologico, Monterrey",Gabriel Gonzalez Roa (Referee) · Carlos Esposito (AR1) · Siegfried Kirschen (AR2),1986-06-06,0–0,Gabriel Gonzalez Roa,,Group stage,Mexico,1986
Italy,Argentina,1,,,1,,,Enzo Bearzot,Gaetano Scirea,Carlos Bilardo,Diego Maradona,Alessandro Altobelli (P) · 6,Diego Maradona · 34,32000,"Cuauhtemoc, Puebla",Jan Keizer (Referee) · Antonio Marquez Ramirez (AR1) · Alan Snoddy (AR2),1986-06-05,1–1,Jan Keizer,,Group stage,Mexico,1986
France,Soviet Union,1,,,1,,,Henri Michel,Michel Platini,Valeriy Lobanovskyi,Anatoliy Demyanenko,Luis Fernández · 62,Vasyl Rats · 53,36540,"Nou Camp - Estadio Leï¿½n, Leon",Romualdo Arppi Filho (Referee) · Victoriano Sanchez Arminio (AR1) · Shizuo Takada (AR2),1986-06-05,1–1,Romualdo Arppi Filho,,Group stage,Mexico,1986
Korea Republic,Bulgaria,1,,,1,,,Jung Nam Kim,Park Chang-sun,Ivan Vutsov,Georgi Dimitrov,Kim Jong-boo · 70,Plamen Getov · 11,45000,"Estadio Olï¿½mpico Universitario, Mexico City",Fallaj Khuzam Al Shanar (Referee) · Ioan Igna (AR1) · Valeri Butenko (AR2),1986-06-05,1–1,Fallaj Khuzam Al Shanar,,Group stage,Mexico,1986
Paraguay,Iraq,1,,,0,,,Cayetano Re,Rogelio Delgado,Evaristo,Raad Hammoudi,Julio César Romero · 35,,24000,"Bombonera - Estadio Nemesio Diez, Toluca",Edwin Picon-Ackong (Referee) · Berny Ulloa Morera (AR1) · David Socha (AR2),1986-06-04,1–0,Edwin Picon-Ackong,,Group stage,Mexico,1986
Uruguay,West Germany,1,,,1,,,Omar Borras,Jorge Barrios,Franz Beckenbauer,Harald Schumacher,Antonio Alzamendi · 4,Klaus Allofs · 84,30500,"Estadio Corregidora, Queretaro",Vojtech Christov (Referee) · Hernan Silva Arce (AR1) · Carlos Alberto Silva Valente (AR2),1986-06-04,1–1,Vojtech Christov,,Group stage,Mexico,1986
Scotland,Denmark,0,,,1,,,Alex Ferguson,Graeme Souness,Sepp Piontek,Morten Olsen,,Preben Elkjær · 57,18000,"Neza, Nezahualcoyotl",Lajos Nemeth (Referee) · Siegfried Kirschen (AR1) · Fallaj Khuzam Al Shanar (AR2),1986-06-04,0–1,Lajos Nemeth,,Group stage,Mexico,1986
Belgium,Mexico,1,,,2,,,Guy Thys,Jan Ceulemans,Bora Milutinovic,Tomás Boy,Erwin Vandenbergh · 45,Fernando Quirarte · 23|Hugo Sánchez · 39,110000,"Estadio Azteca, Mexico City",Carlos Esposito (Referee) · Carlos Alberto Silva Valente (AR1) · Romulo Mendez Molina (AR2),1986-06-03,1–2,Carlos Esposito,,Group stage,Mexico,1986
Algeria,Northern Ireland,1,,,1,,,Rabah Saadane,Mahmoud Guendouz,Billy Bingham,Sammy McIlroy,Djamel Zidane · 59,Norman Whiteside · 6,22000,"Tres de Marzo, Guadalajara",Valeri Butenko (Referee) · Andre Daina (AR1) · Zoran Petrovic (AR2),1986-06-03,1–1,Valeri Butenko,,Group stage,Mexico,1986
Portugal,England,1,,,0,,,Jose Torres,Manuel Bento,Bobby Robson,Bryan Robson,Carlos Manuel · 75,,23000,"Tecnologico, Monterrey",Volker Roth (Referee) · Bogdan Dotchev (AR1) · Jamal Al Sharif (AR2),1986-06-03,1–0,Volker Roth,,Group stage,Mexico,1986
Soviet Union,Hungary,6,,,0,,,Valeriy Lobanovskyi,Anatoliy Demyanenko,Gyorgy Mezey,Antal Nagy,Pavlo Yakovenko · 2|Sergei Aleinikov · 4|Igor Belanov (P) · 24|Ivan Yaremchuk · 66|László Dajka (OG) · 73|Sergey Rodionov · 80,,16500,"Estadio Irapuato, Irapuato",Luigi Agnolin (Referee) · George Courtney (AR1) · Horst Brummeier (AR2),1986-06-02,6–0,Luigi Agnolin,,Group stage,Mexico,1986
